"Shifts Auto Primary Role","Shifts Auto Secondary Role","Shifts Auto Fuel Pct","Shifts Auto Starting Position","Shifts Auto Climb","Shifts Transition Primary Role","Shifts Transition Secondary Role","Shifts Transition Fuel Pct","Shifts Transition Defense On","Shifts Shift1 Primary Role","Shifts Shift1 Secondary Role","Shifts Shift1 Fuel Pct","Shifts Shift1 Defense On","Shifts Shift2 Primary Role","Shifts Shift2 Secondary Role","Shifts Shift2 Fuel Pct","Shifts Shift2 Defense On","Shifts Shift3 Primary Role","Shifts Shift3 Secondary Role","Shifts Shift3 Fuel Pct","Shifts Shift3 Defense On","Shifts Shift4 Primary Role","Shifts Shift4 Secondary Role","Shifts Shift4 Fuel Pct","Shifts Shift4 Defense On","Shifts Endgame Primary Role","Shifts Endgame Secondary Role","Shifts Endgame Fuel Pct","Shifts Endgame Defense On","Shifts Endgame Climb"," Id"," Hash","  V","Alliance","Createdat","Event Key","Match Key","Match Number","No Show","Overall Shooter","Overall Passer","Overall Intake","Overall Driver","Overall Defense Avoidance","Overall Defense","Overall Notes","Scouter","Team Number","Updatedat"
"Idle","None","","Right Trench","Not Attempted","Idle","None","","None","Idle","None","","None","Idle","None","","None","Defense","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69da690f6596dd6511f9b01b","97a30faa10c732d56a16e9c4ec2555c3a1fc9a205b5fede588326c36ede5fe69","","red","2026-04-11T15:30:23.309Z","2026chcmp","2026chcmp_qm52","52","","","","","1","","1","God awful.","Arihan","1719","2026-04-11T15:30:23.309Z"
"Score","Idle","50","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Intake from Neutral Zone","Pass","","None","Score","None","40","None","Intake from Neutral Zone","None","","Light","Score","None","50","None","Intake from Neutral Zone","Score","40","None","Not Attempted","69da68e36596dd6511f9b016","f335e8637bec0183499c38a080a0ab00722c362b493499f45fe6b3c33ae18749","","blue","2026-04-11T15:29:39.673Z","2026chcmp","2026chcmp_qm52","52","","4","","3","4","","","Good shooter and intake. Great strategy. ","Nidhish","1727","2026-04-11T15:29:39.676Z"
"Intake from Neutral Zone","Score","70","Left Trench","Not Attempted","Intake from Neutral Zone","Score","20","None","Pass","Intake from Neutral Zone","","None","Score","Score","20","None","Pass","Intake from Neutral Zone","","None","Score","Score","20","None","Score","Score","30","None","Not Attempted","69da68956596dd6511f9b000","e2dfaa0bff2ff1703ff6d3d470c166b2ab31a1e8276dbbe71d8188dd9727739e","","blue","2026-04-11T15:28:21.892Z","2026chcmp","2026chcmp_qm52","52","","3","5","4","4","","","Great team for cleaning up 
 the corners and scoring at the same time","Falco Carey","2106","2026-04-11T15:28:21.892Z"
"Intake from Neutral Zone","Score","80","Left Bump","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","100","None","Defense","Pass","","None","Score","Score","100","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","100","None","L1 Attempted","69da686b6596dd6511f9afea","3d2eb62f53ac54c5c0867a900297f19bf45bb598d1cbc1b54249379e3e84a2e3","","red","2026-04-11T15:27:39.063Z","2026chcmp","2026chcmp_qm52","52","","","","","3","","","","Sai","614","2026-04-11T15:27:39.063Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69da67f26596dd6511f9afcb","912bca13e18268f244c4c5fe999817257904ce963f8c623208a7e7b0fa33962d","","red","2026-04-11T15:25:38.480Z","2026chcmp","2026chcmp_qm52","52","true","","","","","","","","Snithik","5724","2026-04-11T15:25:38.480Z"
"Intake from Neutral Zone","Score","90","Right Trench","Not Attempted","Score","None","90","None","Intake from Neutral Zone","None","90","None","Score","None","90","Heavy","Pass","None","90","None","Pass","None","80","None","Idle","None","80","None","Not Attempted","69da66ee6596dd6511f9af71","00463007455f9e559ab457112d2dfc97d3d0f4201d460bf8300f346edd44a036","","red","2026-04-11T15:21:18.121Z","2026chcmp","2026chcmp_qm51","51","","5","","3","5","1","","Their intake broke when the got pushed into a wall while intake it was great until that happened.","Snithik","9072","2026-04-11T15:21:18.121Z"
"Score","None","40","Hub","Not Attempted","Idle","None","","None","Score","Pass","40","None","Defense","None","","None","Score","Defense","","None","Defense","Intake from Neutral Zone","","None","Score","None","40","None","Not Attempted","69da66c76596dd6511f9af6d","4e77281e465b05a1ac45ba361c3644b5c2b30ebf6da05225cdebd8c0537d6000","","blue","2026-04-11T15:20:39.678Z","2026chcmp","2026chcmp_qm51","51","","2","3","1","4","","5","Put tiger bots on lockdown. Great defence. Great strategy.","Nidhish","5587","2026-04-11T15:20:39.678Z"
"Idle","Idle","","Hub","Not Attempted","Score","Score","20","None","Defense","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","10","None","Not Attempted","69da66bf6596dd6511f9af6c","018fc799a3bc44c4fbbb1d73536ac83b956faf329b5c8fa035d4e72a781ef1ad","","red","2026-04-11T15:20:31.920Z","2026chcmp","2026chcmp_qm51","51","","","","","1","","","Can barely intake and shoot and so slow it looks like it has tank drive ","Sai","3361","2026-04-11T15:20:31.920Z"
"Idle","None","","Hub","Not Attempted","Idle","None","","None","Idle","None","","None","Pass","None","","None","Defense","None","","None","Idle","None","","None","Idle","None","","None","Not Attempted","69da66b26596dd6511f9af6a","dd1bea42f098aa7280a07bdad5bb36116cc6d2e5f47309e0b0c24e1cf0f25369","","red","2026-04-11T15:20:18.640Z","2026chcmp","2026chcmp_qm51","51","","","","","2","","2","Bad defense and didn't i take or shoot sucks.","Arihan","2421","2026-04-11T15:20:18.640Z"
"Pass","Score","20","Left Trench","Not Attempted","Pass","Score","70","None","Intake from Neutral Zone","Score","60","None","Intake from Neutral Zone","Pass","","None","Score","Score","40","Moderate","Pass","Pass","","None","Score","Score","80","None","Not Attempted","69da66b16596dd6511f9af69","d5de70f46a83033d73014e3e2670946a46afa0d1ba394399d42d048daed90d6b","","blue","2026-04-11T15:20:17.380Z","2026chcmp","2026chcmp_qm51","51","","2","4","3","3","","","slow jittery robot","Falco Carey","2377","2026-04-11T15:20:17.380Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Score","None","50","None","Intake from Neutral Zone","None","50","Light","Score","None","40","None","Intake from Neutral Zone","None","50","Moderate","Score","None","60","Moderate","Score","None","70","None","Not Attempted","69da65796596dd6511f9af07","78049df62b55e6919f867fe4818fcd82eafcbd2de67994f82a37cd487b790361","","red","2026-04-11T15:15:05.311Z","2026chcmp","2026chcmp_qm50","50","","3","","3","3","1","","It was kinda like our original robot but 0 defense avoidance and can be defended very easily.","Snithik","3136","2026-04-11T15:15:05.314Z"
"Score","None","50","Left Bump","Not Attempted","Score","None","40","None","Score","None","40","None","Score","None","30","None","Score","None","30","None","Score","None","40","None","Idle","None","30","None","Not Attempted","69da65746596dd6511f9af03","7ebff39b96b0e4fc28930c3bc2e2b6470c4e8b23cd3ebb1aed8561ef7452c51c","","red","2026-04-11T15:15:00.223Z","2026chcmp","2026chcmp_qm50","50","","4","","3","3","","","","Arihan","401","2026-04-11T15:15:00.223Z"
"None","None","","Hub","Not Attempted","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","None","None","","None","Not Attempted","69da65596596dd6511f9af00","184a9a6e291a9115724753b404cee24c17fd4100e8ee9be02ba29890498b9f81","","red","2026-04-11T15:14:33.238Z","2026chcmp","2026chcmp_qm51","51","true","","","","","","","","Sai","3361","2026-04-11T15:14:33.238Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Idle","None","","None","Defense","None","","None","Defense","None","","None","Pass","Defense","","None","Defense","None","","None","Pass","None","","None","Not Attempted","69da65456596dd6511f9aefd","f45cbc3b1b859c7cd65afa84320631ad183fd761c3c05bb58402cafcec50e32a","","blue","2026-04-11T15:14:13.437Z","2026chcmp","2026chcmp_qm50","50","","3","3","","4","","5","Amazing defence. Intake broken. ","Nidhish","422","2026-04-11T15:14:13.437Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Idle","None","","None","Defense","None","","None","Defense","None","","None","Pass","Defense","","None","Defense","None","","None","Pass","None","","None","Not Attempted","69da65456596dd6511f9aefc","346333a708b6b37109598089295648126ac31f4002ff8e3d3629583312e187cf","","blue","2026-04-11T15:14:13.053Z","2026chcmp","2026chcmp_qm50","50","","3","3","","5","","5","Amazing defence. Intake broken. ","Nidhish","422","2026-04-11T15:14:13.053Z"
"Idle","Idle","","Hub","Not Attempted","Intake from Neutral Zone","Intake from Neutral Zone","","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69da65246596dd6511f9aef3","24becba66241cf50a1e3477ecf80209e6ea001a069cafe1219d4241595f2682f","","red","2026-04-11T15:13:40.220Z","2026chcmp","2026chcmp_qm50","50","","","","","1","","","Stayed idle and doesn’t have auto","Sai","3258","2026-04-11T15:13:40.220Z"
"Score","None","10","Hub","L1 Attempted","Pass","Pass","","None","Score","Intake from Neutral Zone","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","100","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","80","None","Not Attempted","69da65176596dd6511f9aeed","c204a7cd6ffed2ecf01966b39004fa08c3b936f4e3320b60555f7be6ca347d7e","","blue","2026-04-11T15:13:27.218Z","2026chcmp","2026chcmp_qm50","50","","2","","1","2","","","","Falco Carey","5243","2026-04-11T15:13:27.218Z"
"Intake from Neutral Zone","Score","40","Right Trench","Not Attempted","Score","Score","50","None","Intake from Neutral Zone","Pass","","None","Score","Score","50","None","Intake from Neutral Zone","Pass","","None","Score","Score","60","None","Score","Intake from Neutral Zone","100","None","Not Attempted","69da62e26596dd6511f9ae52","de8dafbd904bf8b1275c748c9aa5c02edc2de15a724be020398a50998e7b09ce","","red","2026-04-11T15:04:02.399Z","2026chcmp","2026chcmp_qm49","49","","5","5","5","5","5","","I love this robot, this robot is the goat, never challenge the bee, they will cook anyone in their way ","Sai","836","2026-04-11T15:04:02.399Z"
"Score","None","10","Hub","Not Attempted","Intake from Neutral Zone","None","10","None","Intake from Neutral Zone","Idle","10","None","Score","None","10","None","Intake from Neutral Zone","None","10","None","Score","None","10","None","Pass","None","","None","Not Attempted","69da62c66596dd6511f9ae47","681f75db8c72bb0b8bd0d66764105ff4b87256858a9d17a2878f992880ffc03c","","red","2026-04-11T15:03:34.675Z","2026chcmp","2026chcmp_qm49","49","","3","2","3","3","","","Didn’t have to do much just got hard carried by Robot bees and Blair.","Snithik","11318","2026-04-11T15:03:34.675Z"
"Intake from Neutral Zone","Score","60","Right Trench","Not Attempted","Intake from Neutral Zone","Score","50","None","Intake from Neutral Zone","Score","40","None","Intake from Neutral Zone","Pass","","Heavy","Intake from Neutral Zone","Score","60","Heavy","Intake from Neutral Zone","Intake from Neutral Zone","","Heavy","Score","Pass","30","None","Not Attempted","69da62aa6596dd6511f9ae46","8da0b3febe0a4cfc7132fbe32a86eb68eaa3cd3be81ec9e084d24a3c7083434c","","blue","2026-04-11T15:03:06.412Z","2026chcmp","2026chcmp_qm49","49","","4","4","4","4","3","","got their intake smashed and kept cooking, shooter didnt work at  end though","Falco Carey","1731","2026-04-11T15:03:06.412Z"
"Score","None","40","Left Trench","Not Attempted","Score","None","40","None","Score","None","40","None","Score","None","40","None","Score","None","40","None","Idle","None","","None","Score","None","40","None","Not Attempted","69da629f6596dd6511f9ae43","4df77fda6f8c0156f05f321a924ad1308ecf9dce5c8c3cdd609b3d803eb57daf","","red","2026-04-11T15:02:55.161Z","2026chcmp","2026chcmp_qm49","49","","5","","5","5","","","Blair. Need i say more.","Arihan","449","2026-04-11T15:02:55.161Z"
"Score","None","30","Hub","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Intake from Neutral Zone","","None","Pass","Defense","","None","Pass","None","","None","Defense","None","","None","Pass","Defense","","None","Not Attempted","69da62996596dd6511f9ae41","b4a476616db075df2c7e37a9db636bb8dd1ac2019a20cc2572b5fdfb164c4fd0","","blue","2026-04-11T15:02:49.086Z","2026chcmp","2026chcmp_qm49","49","","3","5","3","3","","2","Great passing. Shooter is pretty good.","Nidhish","4472","2026-04-11T15:02:49.086Z"
"Intake from Neutral Zone","Score","50","Hub","Not Attempted","Score","None","80","None","Score","None","20","None","Intake from Neutral Zone","None","","None","Score","None","30","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","40","None","Not Attempted","69da60f96596dd6511f9adda","b60bec218dcfef26c49ea00fd5250ff0739d191ded630e0496b73a9a94be291a","","blue","2026-04-11T14:55:53.400Z","2026chcmp","2026chcmp_qm48","48","","3","3","3","3","","","Average. Slow shooter. ","Nidhish","11415","2026-04-11T14:55:53.400Z"
"Score","None","20","Hub","Not Attempted","Idle","None","20","None","Intake from Neutral Zone","None","20","None","Score","None","30","None","Intake from Neutral Zone","None","30","None","Score","None","30","None","Score","None","30","None","Not Attempted","69da60dc6596dd6511f9add2","07a820227d11ca5e27e9073cb323c7197c51f2b66f812606d53e1ca9a06623c8","","red","2026-04-11T14:55:24.533Z","2026chcmp","2026chcmp_qm48","48","","2","","1","1","","","Slow intaking and shooting accuracy was high kind of but requires to be refilled a lot because of the small hopper size.","Snithik","4541","2026-04-11T14:55:24.533Z"
"Idle","Idle","","Left Trench","Not Attempted","Idle","Idle","","None","Idle","Pass","","None","Pass","Defense","","None","Defense","Defense","","None","Defense","Defense","","None","Pass","Pass","","None","Not Attempted","69da60876596dd6511f9adae","60f31afec832b738dc841b5af155b315e05061ff4c4c7105bc1fe5104f270542","","red","2026-04-11T14:53:59.731Z","2026chcmp","2026chcmp_qm48","48","","","4","","4","","4","Good defense ","Sai","2537","2026-04-11T14:53:59.731Z"
"Intake from Neutral Zone","Score","10","Left Bump","Not Attempted","Intake from Neutral Zone","Score","40","None","Score","Intake from Neutral Zone","60","None","Intake from Neutral Zone","Score","","None","Score","Score","40","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","50","None","Not Attempted","69da60876596dd6511f9adad","19970594c6940c0db1e772b77932e7b2942a3c0e10512d8c8b1e2b1bd5ac9927","","blue","2026-04-11T14:53:59.648Z","2026chcmp","2026chcmp_qm48","48","","4","","4","4","","","clutched up at the end","Falco Carey","1086","2026-04-11T14:53:59.648Z"
"Intake from Neutral Zone","Idle","","Left Bump","Not Attempted","Intake from Neutral Zone","Score","20","None","Score","Intake from Neutral Zone","30","None","Intake from Neutral Zone","None","30","None","Score","Intake from Neutral Zone","30","None","Intake from Neutral Zone","Pass","","None","Score","Intake from Neutral Zone","40","None","Not Attempted","69da5ea96596dd6511f9ad2c","947eac46f32e246ded8f59d11754d073b7665c08b7ee223f26f1b9409c464a9a","","red","2026-04-11T14:46:01.039Z","2026chcmp","2026chcmp_qm47","47","","5","4","4","4","","","Good robot they just need a lot better autos so they actually score the balls they shoot in auto.","Snithik","8592","2026-04-11T14:46:01.039Z"
"Intake from Neutral Zone","Score","50","Left Trench","Not Attempted","Intake from Neutral Zone","None","","None","Pass","Idle","","None","Score","None","50","None","Intake from Neutral Zone","Pass","","None","Score","None","40","None","Score","None","50","None","Not Attempted","69da5ea16596dd6511f9ad23","84a091da0b3e9d333de11cbb67018bf63f1f6effe0880064d9bc143523bac447","","blue","2026-04-11T14:45:53.649Z","2026chcmp","2026chcmp_qm47","47","","4","3","4","3","","","Good shooter and intake. Bad strategy. ","Nidhish","1262","2026-04-11T14:45:53.649Z"
"Intake from Neutral Zone","Score","10","Right Trench","Not Attempted","Intake from Neutral Zone","Score","100","None","Score","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","30","None","Intake from Neutral Zone","Intake from Neutral Zone","","None","Score","Score","40","None","Not Attempted","69da5e7c6596dd6511f9ad1d","7fd1c07d8576845b40e2bc32ec59329d2bbd46684820a981674f4bc457072b05","","red","2026-04-11T14:45:16.942Z","2026chcmp","2026chcmp_qm47","47","","4","","3","3","","","","Sai","3748","2026-04-11T14:45:16.942Z"
"Score","None","80","Right Trench","Not Attempted","Score","None","70","None","Intake from Neutral Zone","None","70","None","Score","None","80","None","Intake from Neutral Zone","None","","None","Score","None","80","None","Score","None","70","None","Not Attempted","69da5e7a6596dd6511f9ad1c","c963025fd44d76699fb81d819529532bba8d1937e1e51bb38896d564383684ef","","red","2026-04-11T14:45:14.293Z","2026chcmp","2026chcmp_qm48","48","true","5","","5","5","","","","Arihan","5338","2026-04-11T14:55:07.711Z"
"Idle","None","","Hub","Not Attempted","Score","None","20","None","Score","None","20","None","Score","None","20","None","Idle","None","","None","Idle","None","","None","Score","None","20","None","Not Attempted","69da5e796596dd6511f9ad1b","a0a49a7f0a4b40d7e51d56ad68c8a2ba7eb83bbee2c9af93296783803d5ddae3","","red","2026-04-11T14:45:13.785Z","2026chcmp","2026chcmp_qm47","47","","2","","4","3","","","Good intake bad shooter. Don't pick.","Arihan","620","2026-04-11T14:45:13.785Z"
"Idle","Idle","","Hub","Not Attempted","Idle","Idle","","None","Pass","Defense","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Idle","Idle","","None","Not Attempted","69da5e616596dd6511f9ad17","78414dfd3821743fe270ab370fdce3277e1f0d5e524b7926b6ff157a07bbc150","","blue","2026-04-11T14:44:49.973Z","2026chcmp","2026chcmp_qm47","47","","1","1","1","1","","1","yikes","Falco Carey","9033","2026-04-11T14:44:49.973Z"
